experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,makespan,objective,loaded_travel,empty_travel,empty_travel_ratio,machine_waiting_for_agv,queue_wait,response_latency,feasible,event_count,notes
main|S|breakdown|42|B-CORE,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE,solved,,0.012099,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000155,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-graph,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-graph,solved,,0.012888,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000161,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-qp,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-qp,solved,,0.012556,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000156,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-bottleneck,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-bottleneck,solved,,0.011488,49.047524,49.047524,144.830141,84.072422,0.367285,8.002066,8.002066,0.000152,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-transport,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-transport,solved,,0.012236,51.786665,51.786665,154.863005,107.953669,0.410757,9.170988,9.170988,0.000145,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE,solved,,0.011609,49.701893,49.701893,147.234409,88.514894,0.375462,9.154772,9.154772,0.000154,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-graph,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-graph,solved,,0.012704,49.701893,49.701893,147.234409,88.514894,0.375462,9.154772,9.154772,0.000155,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE,2026-06-03T15:03:53,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE,solved,,0.019605,59.130517,59.130517,164.088232,104.474237,0.389013,8.947998,8.947998,0.000236,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-bottleneck,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-bottleneck,solved,,0.014874,53.964053,53.964053,159.305477,127.088777,0.443755,11.940425,11.940425,0.000175,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-qp,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-qp,solved,,0.011002,50.707298,50.707298,153.276255,87.624166,0.363736,9.886203,9.886203,0.000132,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-graph,2026-06-03T15:03:53,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-graph,solved,,0.017036,59.130517,59.130517,164.088232,104.474237,0.389013,8.947998,8.947998,0.000169,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-transport,solved,,0.012939,55.556539,55.556539,177.488270,116.740466,0.396768,11.296205,11.296205,0.000153,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-bottleneck,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-bottleneck,solved,,0.021064,65.101295,65.101295,179.869189,142.396141,0.441860,11.711044,11.711044,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-qp,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-qp,solved,,0.020383,69.220687,69.220687,172.798122,121.354296,0.412556,9.432151,9.432151,0.000397,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-transport,solved,,0.020922,65.166719,65.166719,209.162443,137.246922,0.396199,12.551216,12.551216,0.000246,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE,solved,,0.012639,47.207357,47.207357,156.505579,81.843208,0.343376,11.232099,11.232099,0.000151,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-graph,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-graph,solved,,0.014533,47.207357,47.207357,156.505579,81.843208,0.343376,11.232099,11.232099,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-bottleneck,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-bottleneck,solved,,0.016065,57.293290,57.293290,184.756986,101.957311,0.355606,13.982372,13.982372,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-qp,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-qp,solved,,0.012901,46.252721,46.252721,154.434511,85.952480,0.357559,11.241765,11.241765,0.000148,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-transport,solved,,0.014428,56.277816,56.277816,186.656696,115.645116,0.382549,14.306845,14.306845,0.000218,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE,solved,,0.012172,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000186,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-graph,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-graph,solved,,0.012407,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000207,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-bottleneck,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-bottleneck,solved,,0.012507,41.044529,41.044529,106.750091,56.740466,0.347057,6.297392,6.297392,0.000211,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-qp,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-qp,solved,,0.013380,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000193,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-transport,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-transport,solved,,0.013130,44.942224,44.942224,106.750091,57.631193,0.350595,6.290386,6.290386,0.000232,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE,solved,,0.016069,53.606090,53.606090,153.254171,85.813986,0.358952,9.792277,9.792277,0.000265,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-graph,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-graph,solved,,0.016589,53.606090,53.606090,153.254171,85.813986,0.358952,9.792277,9.792277,0.000281,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-bottleneck,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-bottleneck,solved,,0.017820,55.368235,55.368235,161.505579,131.377699,0.448567,13.039585,13.039585,0.000289,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-qp,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-qp,solved,,0.016942,58.841011,58.841011,159.434511,98.742919,0.382461,10.320994,10.320994,0.000267,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-transport,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-transport,solved,,0.016585,54.334699,54.334699,159.283393,111.242092,0.411207,10.758574,10.758574,0.000257,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE,solved,,0.017862,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000208,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-graph,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-graph,solved,,0.018539,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000240,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-bottleneck,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-bottleneck,solved,,0.017989,55.056544,55.056544,151.354461,98.023548,0.393072,8.124731,8.124731,0.000211,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-qp,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-qp,solved,,0.017852,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000210,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-transport,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-transport,solved,,0.019573,60.141614,60.141614,177.527773,108.881413,0.380160,10.303088,10.303088,0.000232,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE,solved,,0.018707,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000310,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-graph,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-graph,solved,,0.017609,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000253,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-bottleneck,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-bottleneck,solved,,0.018104,53.658891,53.658891,158.676092,114.101145,0.418294,8.255065,8.255065,0.000289,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-qp,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-qp,solved,,0.017498,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000300,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-transport,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-transport,solved,,0.018898,59.005209,59.005209,179.549068,128.732194,0.417580,10.089283,10.089283,0.000261,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE,solved,,0.018085,45.379155,45.379155,129.689214,102.779878,0.442123,8.395239,8.395239,0.000366,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-graph,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-graph,solved,,0.017882,45.379155,45.379155,129.689214,102.779878,0.442123,8.395239,8.395239,0.000392,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-bottleneck,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-bottleneck,solved,,0.017995,50.158541,50.158541,132.618146,86.599539,0.395039,7.754716,7.754716,0.000301,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-qp,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-qp,solved,,0.017829,45.179155,45.179155,119.689214,102.779878,0.461996,8.594959,8.594959,0.000294,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-transport,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-transport,solved,,0.019066,59.095029,59.095029,144.531069,134.249830,0.481560,9.562263,9.562263,0.000305,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|51|B-CORE,2026-06-03T15:04:03,S_breakdown_seed51,S,breakdown,51,30051,30051,1.0,B-CORE,solved,,0.017965,59.121604,59.121604,158.355649,127.062941,0.445181,8.665500,8.665500,0.000215,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|51|B-CORE-no-graph,2026-06-03T15:04:03,S_breakdown_seed51,S,breakdown,51,30051,30051,1.0,B-CORE-no-graph,solved,,0.017509,59.121604,59.121604,158.355649,127.062941,0.445181,8.665500,8.665500,0.000211,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|51|B-CORE-no-bottleneck,2026-06-03T15:04:03,S_breakdown_seed51,S,breakdown,51,30051,30051,1.0,B-CORE-no-bottleneck,solved,,0.018253,61.121604,61.121604,170.255359,112.062941,0.396938,9.864286,9.864286,0.000207,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|51|B-CORE-no-qp,2026-06-03T15:04:03,S_breakdown_seed51,S,breakdown,51,30051,30051,1.0,B-CORE-no-qp,solved,,0.018426,56.366051,56.366051,172.616039,132.815175,0.434845,10.488179,10.488179,0.000216,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|51|B-CORE-no-transport,2026-06-03T15:04:03,S_breakdown_seed51,S,breakdown,51,30051,30051,1.0,B-CORE-no-transport,solved,,0.018803,63.615643,63.615643,189.789850,141.426074,0.426991,12.203165,12.203165,0.000248,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|42|B-CORE,2026-06-03T15:04:04,S_rush_job_seed42,S,rush_job,42,40042,40042,1.0,B-CORE,solved,,0.016869,48.065452,48.065452,132.370470,85.711244,0.393024,8.058899,8.058899,0.000261,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|42|B-CORE-no-graph,2026-06-03T15:04:04,S_rush_job_seed42,S,rush_job,42,40042,40042,1.0,B-CORE-no-graph,solved,,0.015938,48.065452,48.065452,132.370470,85.711244,0.393024,8.058899,8.058899,0.000221,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|42|B-CORE-no-bottleneck,2026-06-03T15:04:04,S_rush_job_seed42,S,rush_job,42,40042,40042,1.0,B-CORE-no-bottleneck,solved,,0.016392,45.884245,45.884245,138.550810,89.302879,0.391931,8.932636,8.932636,0.000283,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|42|B-CORE-no-qp,2026-06-03T15:04:04,S_rush_job_seed42,S,rush_job,42,40042,40042,1.0,B-CORE-no-qp,solved,,0.016522,48.065452,48.065452,132.370470,85.711244,0.393024,8.058899,8.058899,0.000226,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|42|B-CORE-no-transport,2026-06-03T15:04:04,S_rush_job_seed42,S,rush_job,42,40042,40042,1.0,B-CORE-no-transport,solved,,0.016518,50.561320,50.561320,133.261198,118.995515,0.471724,10.742709,10.742709,0.000269,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|43|B-CORE,2026-06-03T15:04:05,S_rush_job_seed43,S,rush_job,43,40043,40043,1.0,B-CORE,solved,,0.018487,54.532693,54.532693,172.187933,108.804506,0.387215,11.230936,11.230936,0.000630,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|43|B-CORE-no-graph,2026-06-03T15:04:05,S_rush_job_seed43,S,rush_job,43,40043,40043,1.0,B-CORE-no-graph,solved,,0.016655,54.532693,54.532693,172.187933,108.804506,0.387215,11.230936,11.230936,0.000323,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|43|B-CORE-no-bottleneck,2026-06-03T15:04:05,S_rush_job_seed43,S,rush_job,43,40043,40043,1.0,B-CORE-no-bottleneck,solved,,0.016415,54.335921,54.335921,171.297205,116.766302,0.405349,12.337954,12.337954,0.000333,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|43|B-CORE-no-qp,2026-06-03T15:04:05,S_rush_job_seed43,S,rush_job,43,40043,40043,1.0,B-CORE-no-qp,solved,,0.016249,51.463131,51.463131,168.368273,100.483219,0.373750,10.431668,10.431668,0.000349,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|43|B-CORE-no-transport,2026-06-03T15:04:05,S_rush_job_seed43,S,rush_job,43,40043,40043,1.0,B-CORE-no-transport,solved,,0.017449,55.133306,55.133306,189.651356,111.433101,0.370106,13.600818,13.600818,0.000290,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|44|B-CORE,2026-06-03T15:04:07,S_rush_job_seed44,S,rush_job,44,40044,40044,1.0,B-CORE,solved,,0.019035,57.035616,57.035616,168.197504,107.953669,0.390922,9.189726,9.189726,0.000258,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|44|B-CORE-no-graph,2026-06-03T15:04:07,S_rush_job_seed44,S,rush_job,44,40044,40044,1.0,B-CORE-no-graph,solved,,0.020028,57.035616,57.035616,168.197504,107.953669,0.390922,9.189726,9.189726,0.000269,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|44|B-CORE-no-bottleneck,2026-06-03T15:04:07,S_rush_job_seed44,S,rush_job,44,40044,40044,1.0,B-CORE-no-bottleneck,solved,,0.020262,68.057451,68.057451,189.869189,148.576481,0.438997,11.436950,11.436950,0.000243,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|44|B-CORE-no-qp,2026-06-03T15:04:07,S_rush_job_seed44,S,rush_job,44,40044,40044,1.0,B-CORE-no-qp,solved,,0.019841,59.930825,59.930825,165.727054,107.245023,0.392879,10.380588,10.380588,0.000241,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|44|B-CORE-no-transport,2026-06-03T15:04:07,S_rush_job_seed44,S,rush_job,44,40044,40044,1.0,B-CORE-no-transport,solved,,0.020111,64.513276,64.513276,195.911035,141.766302,0.419828,12.940965,12.940965,0.000284,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|45|B-CORE,2026-06-03T15:04:08,S_rush_job_seed45,S,rush_job,45,40045,40045,1.0,B-CORE,solved,,0.017085,47.195292,47.195292,155.084002,64.772141,0.294611,10.467274,10.467274,0.000329,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|45|B-CORE-no-graph,2026-06-03T15:04:08,S_rush_job_seed45,S,rush_job,45,40045,40045,1.0,B-CORE-no-graph,solved,,0.021481,47.195292,47.195292,155.084002,64.772141,0.294611,10.467274,10.467274,0.000283,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|45|B-CORE-no-bottleneck,2026-06-03T15:04:08,S_rush_job_seed45,S,rush_job,45,40045,40045,1.0,B-CORE-no-bottleneck,solved,,0.017428,58.398375,58.398375,193.177264,123.104787,0.389225,14.261216,14.261216,0.000264,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|45|B-CORE-no-qp,2026-06-03T15:04:08,S_rush_job_seed45,S,rush_job,45,40045,40045,1.0,B-CORE-no-qp,solved,,0.016677,47.195292,47.195292,155.084002,64.772141,0.294611,10.467274,10.467274,0.000281,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|45|B-CORE-no-transport,2026-06-03T15:04:08,S_rush_job_seed45,S,rush_job,45,40045,40045,1.0,B-CORE-no-transport,solved,,0.017044,60.087646,60.087646,191.257314,120.245734,0.386018,14.600485,14.600485,0.000225,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|46|B-CORE,2026-06-03T15:04:10,S_rush_job_seed46,S,rush_job,46,40046,40046,1.0,B-CORE,solved,,0.012873,50.393471,50.393471,107.930431,60.560126,0.359427,6.293414,6.293414,0.000208,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|46|B-CORE-no-graph,2026-06-03T15:04:10,S_rush_job_seed46,S,rush_job,46,40046,40046,1.0,B-CORE-no-graph,solved,,0.012490,50.393471,50.393471,107.930431,60.560126,0.359427,6.293414,6.293414,0.000204,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|46|B-CORE-no-bottleneck,2026-06-03T15:04:10,S_rush_job_seed46,S,rush_job,46,40046,40046,1.0,B-CORE-no-bottleneck,solved,,0.012686,47.993471,47.993471,107.930431,60.560126,0.359427,6.293414,6.293414,0.000183,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|46|B-CORE-no-qp,2026-06-03T15:04:10,S_rush_job_seed46,S,rush_job,46,40046,40046,1.0,B-CORE-no-qp,solved,,0.012157,50.393471,50.393471,107.930431,60.560126,0.359427,6.293414,6.293414,0.000192,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|46|B-CORE-no-transport,2026-06-03T15:04:10,S_rush_job_seed46,S,rush_job,46,40046,40046,1.0,B-CORE-no-transport,solved,,0.012089,50.508838,50.508838,107.930431,67.631193,0.385228,6.539966,6.539966,0.000179,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|47|B-CORE,2026-06-03T15:04:11,S_rush_job_seed47,S,rush_job,47,40047,40047,1.0,B-CORE,solved,,0.012684,56.841614,56.841614,173.576646,114.956122,0.398416,12.059221,12.059221,0.000179,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|47|B-CORE-no-graph,2026-06-03T15:04:11,S_rush_job_seed47,S,rush_job,47,40047,40047,1.0,B-CORE-no-graph,solved,,0.034552,56.841614,56.841614,173.576646,114.956122,0.398416,12.059221,12.059221,0.000730,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|47|B-CORE-no-bottleneck,2026-06-03T15:04:11,S_rush_job_seed47,S,rush_job,47,40047,40047,1.0,B-CORE-no-bottleneck,solved,,0.019496,60.257443,60.257443,184.756986,137.027190,0.425836,12.373603,12.373603,0.000239,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|47|B-CORE-no-qp,2026-06-03T15:04:11,S_rush_job_seed47,S,rush_job,47,40047,40047,1.0,B-CORE-no-qp,solved,,0.018783,60.256885,60.256885,192.527773,114.065394,0.372042,12.077865,12.077865,0.000269,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|47|B-CORE-no-transport,2026-06-03T15:04:11,S_rush_job_seed47,S,rush_job,47,40047,40047,1.0,B-CORE-no-transport,solved,,0.018301,57.667328,57.667328,178.715140,115.985344,0.393570,12.385231,12.385231,0.000309,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|48|B-CORE,2026-06-03T15:04:12,S_rush_job_seed48,S,rush_job,48,40048,40048,1.0,B-CORE,solved,,0.014283,62.086070,62.086070,158.267383,91.773329,0.367034,7.972854,7.972854,0.000131,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|48|B-CORE-no-graph,2026-06-03T15:04:12,S_rush_job_seed48,S,rush_job,48,40048,40048,1.0,B-CORE-no-graph,solved,,0.016243,62.086070,62.086070,158.267383,91.773329,0.367034,7.972854,7.972854,0.000147,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|48|B-CORE-no-bottleneck,2026-06-03T15:04:12,S_rush_job_seed48,S,rush_job,48,40048,40048,1.0,B-CORE-no-bottleneck,solved,,0.015948,66.153629,66.153629,158.267383,109.936471,0.409899,9.907576,9.907576,0.000142,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|48|B-CORE-no-qp,2026-06-03T15:04:12,S_rush_job_seed48,S,rush_job,48,40048,40048,1.0,B-CORE-no-qp,solved,,0.014311,62.086070,62.086070,158.267383,84.702261,0.348613,7.793880,7.793880,0.000125,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|48|B-CORE-no-transport,2026-06-03T15:04:12,S_rush_job_seed48,S,rush_job,48,40048,40048,1.0,B-CORE-no-transport,solved,,0.016074,68.751444,68.751444,158.267383,117.001354,0.425044,10.118393,10.118393,0.000158,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|49|B-CORE,2026-06-03T15:04:14,S_rush_job_seed49,S,rush_job,49,40049,40049,1.0,B-CORE,solved,,0.019268,55.981635,55.981635,173.081549,122.521423,0.414480,8.151407,8.151407,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|49|B-CORE-no-graph,2026-06-03T15:04:14,S_rush_job_seed49,S,rush_job,49,40049,40049,1.0,B-CORE-no-graph,solved,,0.018366,55.981635,55.981635,173.081549,122.521423,0.414480,8.151407,8.151407,0.000224,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|49|B-CORE-no-bottleneck,2026-06-03T15:04:14,S_rush_job_seed49,S,rush_job,49,40049,40049,1.0,B-CORE-no-bottleneck,solved,,0.019243,53.441015,53.441015,159.830141,94.511252,0.371592,6.951931,6.951931,0.000235,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|rush_job|49|B-CORE-no-qp,2026-06-03T15:04:14,S_rush_job_seed49,S,rush_job,49,40049,40049,1.0,B-CORE-no-qp,solved,,0.019781,55.981635,55.981635,173.081549,122.521423,0.414480,8.151407,8.151407,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
