experiment_id,timestamp,instance_id,scale,event_type,instance_seed,dynamic_seed,algorithm_seed,budget_sec,algorithm,status,error_message,runtime_sec,makespan,objective,loaded_travel,empty_travel,empty_travel_ratio,machine_waiting_for_agv,queue_wait,response_latency,feasible,event_count,notes
main|S|breakdown|42|B-CORE,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE,solved,,0.012099,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000155,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-graph,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-graph,solved,,0.012888,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000161,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-qp,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-qp,solved,,0.012556,48.026998,48.026998,146.934072,83.962651,0.363637,6.477476,6.477476,0.000156,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-bottleneck,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-bottleneck,solved,,0.011488,49.047524,49.047524,144.830141,84.072422,0.367285,8.002066,8.002066,0.000152,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|MOR,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,MOR,solved,,0.006123,64.205767,64.205767,166.332957,116.110626,0.411093,8.413726,8.413726,0.000006,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|MachineRank,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,MachineRank,solved,,0.007117,56.730517,56.730517,151.901209,115.057600,0.430994,8.071948,8.071948,0.000031,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|B-CORE-no-transport,2026-06-03T14:42:00,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,B-CORE-no-transport,solved,,0.012236,51.786665,51.786665,154.863005,107.953669,0.410757,9.170988,9.170988,0.000145,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|LNS,2026-06-03T14:42:03,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,LNS,solved,,3.016100,48.047524,48.047524,151.901209,87.986533,0.366782,7.376447,7.376447,1.004038,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|GA,2026-06-03T14:42:03,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,GA,solved,,3.012752,47.430517,47.430517,142.791937,84.702261,0.372327,7.166170,7.166170,1.001435,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|DCGA,2026-06-03T14:42:03,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,DCGA,solved,,3.014711,45.966051,45.966051,144.863005,84.702261,0.368968,7.213240,7.213240,1.002273,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|MOEA-NSGA2,2026-06-03T14:42:03,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,MOEA-NSGA2,solved,,3.014338,46.400078,46.400078,151.934072,88.811533,0.368902,6.790168,6.790168,1.002117,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|42|SA,2026-06-03T14:42:03,S_breakdown_seed42,S,breakdown,42,30042,30042,1.0,SA,solved,,3.015730,49.785153,49.785153,129.830141,90.024737,0.409473,7.174214,7.174214,1.003642,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE,solved,,0.011609,49.701893,49.701893,147.234409,88.514894,0.375462,9.154772,9.154772,0.000154,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-graph,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-graph,solved,,0.012704,49.701893,49.701893,147.234409,88.514894,0.375462,9.154772,9.154772,0.000155,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE,2026-06-03T15:03:53,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE,solved,,0.019605,59.130517,59.130517,164.088232,104.474237,0.389013,8.947998,8.947998,0.000236,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-bottleneck,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-bottleneck,solved,,0.014874,53.964053,53.964053,159.305477,127.088777,0.443755,11.940425,11.940425,0.000175,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-qp,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-qp,solved,,0.011002,50.707298,50.707298,153.276255,87.624166,0.363736,9.886203,9.886203,0.000132,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|MOR,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,MOR,solved,,0.005969,62.111165,62.111165,151.743064,115.882601,0.433003,8.675787,8.675787,0.000007,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|MachineRank,2026-06-03T15:03:53,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,MachineRank,solved,,0.007845,60.809491,60.809491,187.810746,147.158656,0.439320,14.003356,14.003356,0.000043,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-graph,2026-06-03T15:03:53,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-graph,solved,,0.017036,59.130517,59.130517,164.088232,104.474237,0.389013,8.947998,8.947998,0.000169,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,B-CORE-no-transport,solved,,0.012939,55.556539,55.556539,177.488270,116.740466,0.396768,11.296205,11.296205,0.000153,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-bottleneck,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-bottleneck,solved,,0.021064,65.101295,65.101295,179.869189,142.396141,0.441860,11.711044,11.711044,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|MOR,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,MOR,solved,,0.006905,68.862901,68.862901,179.414859,126.904796,0.414289,7.583282,7.583282,0.000006,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|MachineRank,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,MachineRank,solved,,0.009009,59.701036,59.701036,183.576646,123.962651,0.403079,10.355841,10.355841,0.000061,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-qp,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-qp,solved,,0.020383,69.220687,69.220687,172.798122,121.354296,0.412556,9.432151,9.432151,0.000397,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,B-CORE-no-transport,solved,,0.020922,65.166719,65.166719,209.162443,137.246922,0.396199,12.551216,12.551216,0.000246,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE,solved,,0.012639,47.207357,47.207357,156.505579,81.843208,0.343376,11.232099,11.232099,0.000151,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-graph,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-graph,solved,,0.014533,47.207357,47.207357,156.505579,81.843208,0.343376,11.232099,11.232099,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-bottleneck,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-bottleneck,solved,,0.016065,57.293290,57.293290,184.756986,101.957311,0.355606,13.982372,13.982372,0.000227,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-qp,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-qp,solved,,0.012901,46.252721,46.252721,154.434511,85.952480,0.357559,11.241765,11.241765,0.000148,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|MachineRank,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,MachineRank,solved,,0.006208,58.898988,58.898988,173.405289,146.198049,0.457436,15.873626,15.873626,0.000030,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|B-CORE-no-transport,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,B-CORE-no-transport,solved,,0.014428,56.277816,56.277816,186.656696,115.645116,0.382549,14.306845,14.306845,0.000218,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|MOR,2026-06-03T15:03:54,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,MOR,solved,,0.006243,66.180109,66.180109,173.052437,120.486971,0.410463,12.484063,12.484063,0.000006,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|DCGA,2026-06-03T15:03:56,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,DCGA,solved,,2.008954,57.842531,57.842531,175.167093,97.990685,0.358733,8.832264,8.832264,1.000842,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|SA,2026-06-03T15:03:56,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,SA,solved,,2.010496,66.436829,66.436829,185.456705,121.766302,0.396345,9.848750,9.848750,1.001028,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|LNS,2026-06-03T15:03:57,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,LNS,solved,,3.013452,47.891156,47.891156,139.774739,102.132820,0.422198,8.336418,8.336418,1.002730,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|DCGA,2026-06-03T15:03:57,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,DCGA,solved,,3.016428,46.436520,46.436520,157.956267,102.953669,0.394595,9.280359,9.280359,1.003476,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|MOEA-NSGA2,2026-06-03T15:03:57,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,MOEA-NSGA2,solved,,3.013789,42.471764,42.471764,129.463622,62.459836,0.325441,6.747841,6.747841,1.003183,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|LNS,2026-06-03T15:03:57,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,LNS,solved,,3.021110,64.107896,64.107896,190.980915,125.908437,0.397326,11.441563,11.441563,1.003707,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|SA,2026-06-03T15:03:57,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,SA,solved,,3.012113,44.545436,44.545436,137.633792,90.560126,0.396856,7.036137,7.036137,1.002350,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|GA,2026-06-03T15:03:57,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,GA,solved,,3.019712,60.231471,60.231471,187.135418,121.433101,0.393537,8.649510,8.649510,1.002996,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|44|MOEA-NSGA2,2026-06-03T15:03:57,S_breakdown_seed44,S,breakdown,44,30044,30044,1.0,MOEA-NSGA2,solved,,3.017601,57.544529,57.544529,175.235708,100.985344,0.365596,8.820760,8.820760,1.003277,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|43|GA,2026-06-03T15:03:57,S_breakdown_seed43,S,breakdown,43,30043,30043,1.0,GA,solved,,3.016255,44.630517,44.630517,139.463622,76.110626,0.353060,7.929029,7.929029,1.002899,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|MOR,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,MOR,solved,,0.005709,45.315597,45.315597,115.892227,69.702261,0.375562,6.617888,6.617888,0.000007,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE,solved,,0.012172,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000186,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|MachineRank,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,MachineRank,solved,,0.007242,45.666051,45.666051,115.892227,72.403169,0.384519,7.764184,7.764184,0.000068,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-graph,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-graph,solved,,0.012407,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000207,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-bottleneck,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-bottleneck,solved,,0.012507,41.044529,41.044529,106.750091,56.740466,0.347057,6.297392,6.297392,0.000211,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-qp,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-qp,solved,,0.013380,43.196860,43.196860,106.750091,56.740466,0.347057,6.297392,6.297392,0.000193,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|B-CORE-no-transport,2026-06-03T15:03:57,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,B-CORE-no-transport,solved,,0.013130,44.942224,44.942224,106.750091,57.631193,0.350595,6.290386,6.290386,0.000232,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE,solved,,0.016069,53.606090,53.606090,153.254171,85.813986,0.358952,9.792277,9.792277,0.000265,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-graph,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-graph,solved,,0.016589,53.606090,53.606090,153.254171,85.813986,0.358952,9.792277,9.792277,0.000281,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|GA,2026-06-03T15:03:57,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,GA,solved,,3.013031,44.193290,44.193290,142.003952,97.815175,0.407871,10.708605,10.708605,1.001913,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|LNS,2026-06-03T15:03:57,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,LNS,solved,,3.014896,45.744529,45.744529,144.303044,85.972132,0.373345,9.446990,9.446990,1.003390,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-bottleneck,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-bottleneck,solved,,0.017820,55.368235,55.368235,161.505579,131.377699,0.448567,13.039585,13.039585,0.000289,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-qp,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-qp,solved,,0.016942,58.841011,58.841011,159.434511,98.742919,0.382461,10.320994,10.320994,0.000267,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|MachineRank,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,MachineRank,solved,,0.009221,51.465143,51.465143,142.212325,116.605723,0.450532,10.889334,10.889334,0.000012,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|MOR,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,MOR,solved,,0.008259,60.627367,60.627367,171.321597,136.792593,0.443967,11.003492,11.003492,0.000011,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|B-CORE-no-transport,2026-06-03T15:03:57,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,B-CORE-no-transport,solved,,0.016585,54.334699,54.334699,159.283393,111.242092,0.411207,10.758574,10.758574,0.000257,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|DCGA,2026-06-03T15:03:59,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,DCGA,solved,,3.013139,42.566051,42.566051,143.445180,90.744107,0.387482,9.811724,9.811724,1.002260,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|SA,2026-06-03T15:03:59,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,SA,solved,,3.013681,46.784245,46.784245,167.953834,77.001354,0.314349,8.003151,8.003151,1.001848,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE,solved,,0.017862,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000208,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-graph,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-graph,solved,,0.018539,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000240,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-bottleneck,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-bottleneck,solved,,0.017989,55.056544,55.056544,151.354461,98.023548,0.393072,8.124731,8.124731,0.000211,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-qp,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-qp,solved,,0.017852,52.292063,52.292063,155.064351,88.914276,0.364435,8.398730,8.398730,0.000210,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|B-CORE-no-transport,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,B-CORE-no-transport,solved,,0.019573,60.141614,60.141614,177.527773,108.881413,0.380160,10.303088,10.303088,0.000232,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|MachineRank,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,MachineRank,solved,,0.010805,64.392708,64.392708,186.669909,123.207530,0.397601,11.544768,11.544768,0.000080,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|48|MOR,2026-06-03T15:03:59,S_breakdown_seed48,S,breakdown,48,30048,30048,1.0,MOR,solved,,0.008561,56.117187,56.117187,147.363443,119.203888,0.447181,8.499848,8.499848,0.000008,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|45|MOEA-NSGA2,2026-06-03T15:04:00,S_breakdown_seed45,S,breakdown,45,30045,30045,1.0,MOEA-NSGA2,solved,,3.017317,45.037118,45.037118,145.255359,86.773329,0.373977,9.962453,9.962453,1.003538,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|DCGA,2026-06-03T15:04:00,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,DCGA,solved,,3.013019,40.794983,40.794983,117.791937,58.489058,0.331794,6.625909,6.625909,1.002144,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|GA,2026-06-03T15:04:00,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,GA,solved,,3.014086,41.280063,41.280063,120.720869,69.702261,0.366039,8.207879,8.207879,1.002392,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|MOEA-NSGA2,2026-06-03T15:04:00,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,MOEA-NSGA2,solved,,3.014221,40.065143,40.065143,108.649801,63.489058,0.368825,6.924674,6.924674,1.002595,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|DCGA,2026-06-03T15:04:00,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,DCGA,solved,,3.015823,46.608995,46.608995,147.109582,87.071233,0.371812,7.876427,7.876427,1.002876,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE,solved,,0.018707,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000310,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-graph,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-graph,solved,,0.017609,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000253,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-bottleneck,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-bottleneck,solved,,0.018104,53.658891,53.658891,158.676092,114.101145,0.418294,8.255065,8.255065,0.000289,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-qp,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-qp,solved,,0.017498,52.149061,52.149061,148.676092,86.740466,0.368455,6.592378,6.592378,0.000300,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|B-CORE-no-transport,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,B-CORE-no-transport,solved,,0.018898,59.005209,59.005209,179.549068,128.732194,0.417580,10.089283,10.089283,0.000261,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|MachineRank,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,MachineRank,solved,,0.011144,63.695029,63.695029,175.040413,126.601971,0.419709,8.810464,8.810464,0.000054,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|49|MOR,2026-06-03T15:04:00,S_breakdown_seed49,S,breakdown,49,30049,30049,1.0,MOR,solved,,0.008293,51.755313,51.755313,161.560981,91.110626,0.360589,8.051811,8.051811,0.000009,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|LNS,2026-06-03T15:04:01,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,LNS,solved,,4.011844,38.474369,38.474369,108.821159,52.631193,0.325986,6.455124,6.455124,1.001272,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|46|SA,2026-06-03T15:04:01,S_breakdown_seed46,S,breakdown,46,30046,30046,1.0,SA,solved,,4.016941,40.094384,40.094384,115.720869,52.701073,0.312911,6.545930,6.545930,1.002670,true,4,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|GA,2026-06-03T15:04:01,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,GA,solved,,4.016143,43.405767,43.405767,119.748902,76.110626,0.388598,6.919214,6.919214,1.002023,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|LNS,2026-06-03T15:04:01,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,LNS,solved,,4.026634,43.165456,43.165456,126.819970,85.952480,0.403964,7.907685,7.907685,1.004688,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|47|SA,2026-06-03T15:04:01,S_breakdown_seed47,S,breakdown,47,30047,30047,1.0,SA,solved,,4.022415,46.949619,46.949619,153.000310,75.000165,0.328947,7.999070,7.999070,1.003319,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE,solved,,0.018085,45.379155,45.379155,129.689214,102.779878,0.442123,8.395239,8.395239,0.000366,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-graph,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-graph,solved,,0.017882,45.379155,45.379155,129.689214,102.779878,0.442123,8.395239,8.395239,0.000392,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-bottleneck,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-bottleneck,solved,,0.017995,50.158541,50.158541,132.618146,86.599539,0.395039,7.754716,7.754716,0.000301,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-qp,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-qp,solved,,0.017829,45.179155,45.179155,119.689214,102.779878,0.461996,8.594959,8.594959,0.000294,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|B-CORE-no-transport,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,B-CORE-no-transport,solved,,0.019066,59.095029,59.095029,144.531069,134.249830,0.481560,9.562263,9.562263,0.000305,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|MachineRank,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,MachineRank,solved,,0.010208,49.765143,49.765143,137.460001,101.763869,0.425392,8.553746,8.553746,0.000086,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
main|S|breakdown|50|MOR,2026-06-03T15:04:01,S_breakdown_seed50,S,breakdown,50,30050,30050,1.0,MOR,solved,,0.008303,60.221010,60.221010,142.701238,105.425383,0.424885,7.513818,7.513818,0.000010,true,3,objective equals makespan; due-date/tardiness fields are not available in this instance format
